time,close,high,low,spread
2025-03-13 18:11:00,1.08561,1.08582,1.0855,16
2025-03-13 18:12:00,1.08566,1.08573,1.08558,18
2025-03-13 18:13:00,1.08582,1.08585,1.08567,18
2025-03-13 18:14:00,1.08582,1.08584,1.08573,17
2025-03-13 18:15:00,1.08592,1.08597,1.08576,17
2025-03-13 18:16:00,1.08626,1.08627,1.08583,18
2025-03-13 18:17:00,1.08644,1.08646,1.08625,18
2025-03-13 18:18:00,1.08639,1.08644,1.08621,16
2025-03-13 18:19:00,1.0864,1.08645,1.08637,16
2025-03-13 18:20:00,1.08615,1.08644,1.08615,16
2025-03-13 18:21:00,1.0863,1.08634,1.08613,16
2025-03-13 18:22:00,1.08611,1.08632,1.08611,16
2025-03-13 18:23:00,1.08617,1.08624,1.08611,16
2025-03-13 18:24:00,1.08631,1.08637,1.08617,16
2025-03-13 18:25:00,1.08645,1.08647,1.08631,16
2025-03-13 18:26:00,1.08632,1.08644,1.08617,16
2025-03-13 18:27:00,1.08628,1.08638,1.08625,16
2025-03-13 18:28:00,1.08621,1.08635,1.0862,16
2025-03-13 18:29:00,1.08623,1.08624,1.0862,16
2025-03-13 18:30:00,1.08632,1.08633,1.08613,16
2025-03-13 18:31:00,1.08628,1.08654,1.08627,17
2025-03-13 18:32:00,1.08621,1.08631,1.0860400000000001,16
2025-03-13 18:33:00,1.08652,1.08652,1.08621,16
2025-03-13 18:34:00,1.08638,1.08657,1.08637,17
2025-03-13 18:35:00,1.08668,1.08673,1.08638,16
2025-03-13 18:36:00,1.0867499999999999,1.08681,1.0866500000000001,16
2025-03-13 18:37:00,1.0868,1.08689,1.08674,16
2025-03-13 18:38:00,1.08692,1.08697,1.0868,16
2025-03-13 18:39:00,1.0872,1.08721,1.08692,17
2025-03-13 18:40:00,1.0873,1.08734,1.08713,16
2025-03-13 18:41:00,1.08768,1.08768,1.08725,16
2025-03-13 18:42:00,1.08732,1.08774,1.08731,16
2025-03-13 18:43:00,1.08731,1.08743,1.08728,16
2025-03-13 18:44:00,1.08721,1.08735,1.08719,16
2025-03-13 18:45:00,1.08714,1.08721,1.08711,17
2025-03-13 18:46:00,1.0867499999999999,1.08714,1.08671,16
2025-03-13 18:47:00,1.08672,1.08702,1.08672,17
2025-03-13 18:48:00,1.08678,1.08679,1.08668,18
2025-03-13 18:49:00,1.08645,1.0868,1.08641,17
2025-03-13 18:50:00,1.0866500000000001,1.08671,1.08638,16
